$52,2.13795e+00,2.13795e+00,2.13795e+00,2.13795e+00,1.03145e-01,1.03145e-01,1.03145e-01,1.03145e-01
$51,5.89928e+00,5.89928e+00,2.19856e-01,2.19856e-01,5.89928e+00,5.89928e+00,2.19856e-01,2.19856e-01
$60,4.36334e-01,5.09452e-03,6.40107e-03,5.03815e-03,6.54675e-03,5.03925e-03,1.04546e-02,5.05322e-03
$58,3.10839e-02,3.10839e-02,1.06582e-02,1.06582e-02,1.04321e-02,1.04321e-02,2.84231e-02,2.84231e-02
$61,2.26854e-01,2.00595e-02,6.64309e+00,2.00561e-02,6.64208e+00,2.00561e-02,6.61514e+00,2.00590e-02
$50,3.77065e+00,7.01951e-02,3.77065e+00,7.01951e-02,3.77065e+00,7.01951e-02,3.77065e+00,7.01951e-02
$56,2.10257e-01,2.10257e-01,9.69967e-01,9.69967e-01,2.06274e-01,2.06274e-01,2.30215e-01,2.30215e-01
$55,7.71189e-02,7.71189e-02,7.10672e-02,7.10672e-02,1.01035e+00,1.01035e+00,7.20110e-02,7.20110e-02
$57,7.41481e-02,7.41481e-02,1.12988e+00,1.12988e+00,1.09177e+00,1.09177e+00,7.03813e-01,7.03813e-01
b,1.30000e-03,1.30000e-03,4.40000e+00,4.40000e+00,1.30000e-03,1.30000e-03,4.40000e+00,4.40000e+00
$59,8.77161e-02,3.67429e+00,8.79455e-02,3.72574e+00,8.79481e-02,3.72623e+00,8.77457e-02,3.68182e+00
c,8.20000e-03,8.20000e-03,8.20000e-03,8.20000e-03,2.50000e+00,2.50000e+00,2.50000e+00,2.50000e+00
$53,2.19586e+00,2.19586e+00,2.02419e-01,2.02419e-01,2.07929e-01,2.07929e-01,2.00945e-01,2.00945e-01
a,3.40000e-03,2.80000e+00,3.40000e-03,2.80000e+00,3.40000e-03,2.80000e+00,3.40000e-03,2.80000e+00
$54,7.00969e-03,7.00969e-03,7.30039e-03,7.30039e-03,7.02195e-03,7.02195e-03,8.26837e-02,8.26837e-02
y,9.07416e-02,8.02378e-03,2.65724e+00,8.02244e-03,2.65683e+00,8.02243e-03,2.64606e+00,8.02358e-03
