$52,true,true,true,true,false,false,false,false
$51,true,true,false,false,true,true,false,false
$60,true,false,false,false,false,false,true,false
$58,true,true,false,false,false,false,true,true
$61,false,true,true,false,true,false,false,true
$50,true,false,true,false,true,false,true,false
$56,false,false,true,true,false,false,false,false
$55,false,false,false,false,true,true,false,false
$57,false,false,true,true,true,true,false,false
b,false,false,true,true,false,false,true,true
$59,false,false,false,true,false,true,false,false
c,false,false,false,false,true,true,true,true
$53,true,true,false,false,false,false,false,false
a,false,true,false,true,false,true,false,true
$54,false,false,false,false,false,false,true,true
y,false,true,true,false,true,false,false,true
