inputs;binary;integer;number of gates;optimal network
2;0001;1;3;O2=NOR(I3, I4)::I3=NOR(x0)::I4=NOR(x1)::
2;0010;2;2;O2=NOR(I3, x0)::I3=NOR(x1)::
2;0100;4;2;O2=NOR(I3, x1)::I3=NOR(x0)::
2;1000;8;1;O2=NOR(x0, x1)::
2;0011;3;2;O2=NOR(I3)::I3=NOR(x1)::
2;0101;5;2;O2=NOR(I3)::I3=NOR(x0)::
2;1001;9;4;O2=NOR(I3, I5)::I3=NOR(I4, x1)::I4=NOR(x0, x1)::I5=NOR(I4, x0)::
2;0110;6;5;O2=NOR(I3, I4)::I3=NOR(x0, x1)::I4=NOR(I5, I6)::I5=NOR(x1)::I6=NOR(x0)::
2;1010;10;1;O2=NOR(x0)::
2;1100;12;1;O2=NOR(x1)::
